codigo_alt,depto,anio,clas_gen,tipo_entidad,clasificacion_ofpuj,entidad,total_recaudo
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,1028917480
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,7897274
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,21203641
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,1081818
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,212180000
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,58280200
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,11900002
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,10818184
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto sobre vehiculos automotores,Arauca,158495000
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,449300880
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,3493224
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,9275112
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,481824
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,120456000
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,13250160
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,6022800
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,1338752577
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,10408532
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,27636447
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,1435660
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,358914900
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,39480639
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto de registro,Arauca,17945745
81000.0,Arauca,2024,Ingresos propios,Departamento,Otros ingresos tributarios,Arauca,93280847
81000.0,Arauca,2024,Ingresos propios,Departamento,Otros ingresos tributarios,Arauca,168328789
81000.0,Arauca,2024,Ingresos propios,Departamento,Otros ingresos tributarios,Arauca,1269271
81000.0,Arauca,2024,Ingresos propios,Departamento,Otros ingresos tributarios,Arauca,189926
81000.0,Arauca,2024,Ingresos propios,Departamento,Otros ingresos tributarios,Arauca,2556384
81000.0,Arauca,2024,Ingresos propios,Departamento,Otros ingresos tributarios,Arauca,2984553
81000.0,Arauca,2024,Ingresos propios,Departamento,Otros ingresos tributarios,Arauca,2713230
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de licores, vinos, aperitivos y similares",Arauca,81835860
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de licores, vinos, aperitivos y similares",Arauca,22772000
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,15584170109
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,119613544
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,321154173
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,16385417
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,180239587
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,163854170
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,34539197
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,265100
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,711774
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,36315
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,399465
81000.0,Arauca,2024,Ingresos propios,Departamento,"Impuesto al consumo de cervezas, sifones, refajos y mezclas",Arauca,363150
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto al consumo de cigarrillos y tabaco,Arauca,35786461
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto al consumo de cigarrillos y tabaco,Arauca,39365107
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto al consumo de cigarrillos y tabaco,Arauca,681646880
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto al consumo de cigarrillos y tabaco,Arauca,3578646
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto al consumo de cigarrillos y tabaco,Arauca,70141464
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto al consumo de cigarrillos y tabaco,Arauca,26124117
81000.0,Arauca,2024,Ingresos propios,Departamento,Impuesto al consumo de cigarrillos y tabaco,Arauca,3403650325
81000.0,Arauca,2024,Ingresos propios,Departamento,Sobretasa a la gasolina,Arauca,2115772370
81000.0,Arauca,2024,Ingresos propios,Departamento,Sobretasa a la gasolina,Arauca,15387718
81000.0,Arauca,2024,Ingresos propios,Departamento,Sobretasa a la gasolina,Arauca,41314968
81000.0,Arauca,2024,Ingresos propios,Departamento,Sobretasa a la gasolina,Arauca,2107907
81000.0,Arauca,2024,Ingresos propios,Departamento,Sobretasa a la gasolina,Arauca,23186972
81000.0,Arauca,2024,Ingresos propios,Departamento,Sobretasa a la gasolina,Arauca,21079066
81000.0,Arauca,2024,Ingresos propios,Departamento,Tasa prodeporte y recreacion,Arauca,4457199976
81000.0,Arauca,2024,Ingresos propios,Departamento,Estampillas,Arauca,4463192002
81000.0,Arauca,2024,Ingresos propios,Departamento,Estampillas,Arauca,2261748289
81000.0,Arauca,2024,Ingresos propios,Departamento,Estampillas,Arauca,2954104789
81000.0,Arauca,2024,Ingresos propios,Departamento,Estampillas,Arauca,836279983
81000.0,Arauca,2024,Ingresos propios,Departamento,Estampillas,Arauca,6752958412
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,799758145
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,1998211132
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,28775982
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,220865
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,30255
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,593007
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,332810
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,302555
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,339228968
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,2608399
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,7003372
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,613214
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,357314
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,87856800
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,3930463
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,3573149
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,2386754
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,3653192
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,18686600
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,36313600
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,2846751
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,219989
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,1438868
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,1602181
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,207841065
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,55932612
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,58203454
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,3711
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,119280
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,2330461
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,1309995
81000.0,Arauca,2024,Ingresos propios,Departamento,"Tasas, multas y contribuciones",Arauca,1190904
81000.0,Arauca,2024,Transferencias,Departamento,Sistema general de participaciones,Arauca,329015735909
81000.0,Arauca,2024,Transferencias,Departamento,Sistema general de participaciones,Arauca,534832261
81000.0,Arauca,2024,Transferencias,Departamento,Sistema general de participaciones,Arauca,4968978822
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,383954473
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,422349920
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,752550767
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,38395447
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,280286765
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,36517909911
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,1883571751
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,104728187
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,33229295492
81000.0,Arauca,2024,Transferencias,Departamento,Otras transferencias,Arauca,78629972
81000.0,Arauca,2024,Ingresos propios,Departamento,Participacion y derechos por monopolio,Arauca,13880870
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,232399320
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,14294536
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,14333674
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,20777
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,7894938
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,22631583
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,12174344
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,1157901866
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,13391778
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,23861714
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,1217434
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,8887271
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,517835505
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,230753900
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,7229641622
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,3947865084
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,302061112
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,72811330
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,45583533
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,137677146
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,342371178
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,965547299
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,1476067511
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,242504778
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,23810000
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,25569368
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,5965992692
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,1358194262
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,5642801337
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,14492348
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,191565849
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,97043604
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,4166869615
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,4788559254
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,2222813946
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,30339172
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,1046884710
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,1141822803
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,242879052
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,250189293
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,907813277
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,54867623
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,27029032
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,4389252497
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,2013987501
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,10409134
81000.0,Arauca,2024,Recursos de capital,Departamento,Recursos del balance,Arauca,226250
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,5841435000
81000.0,Arauca,2024,Recursos de capital,Departamento,Otros recursos de capital,Arauca,140645826
81001.0,Arauca,2024,Ingresos propios,Municipio,Impuesto predial unificado,Arauca,2328132003
81001.0,Arauca,2024,Ingresos propios,Municipio,Impuesto predial unificado,Arauca,23516485
81001.0,Arauca,2024,Ingresos propios,Municipio,Impuesto predial unificado,Arauca,285621453
